date,state,fips,cases,deaths
2021-11-8,Rhode Island,44,181835,2882
2021-11-8,South Carolina,45,904293,13896
2021-11-8,South Dakota,46,157396,2267
2021-11-8,Tennessee,47,1257642,16372
2021-11-8,Texas,48,4255308,72337
2021-11-8,Utah,49,564689,3300
2021-11-8,Vermont,50,42547,384
2021-11-8,Virgin Islands,78,7303,83
2021-11-8,Virginia,51,936928,14190
2021-11-8,Washington,53,745324,8877
2021-11-8,West Virginia,54,278578,4548
2021-11-8,Wisconsin,55,905333,9576
2021-11-8,Wyoming,56,105990,1243
2021-11-9,Alabama,1,837250,15879
2021-11-9,Alaska,2,142893,802
2021-11-9,American Samoa,60,4,0
2021-11-9,Arizona,4,1195483,21486
2021-11-9,Arkansas,5,517000,8522
2021-11-9,California,6,4982702,72922
2021-11-9,Colorado,8,775587,8713
2021-11-9,Connecticut,9,406219,8806
2021-11-9,Delaware,10,146207,2124
2021-11-9,District of Columbia,11,65094,1193
2021-11-9,Florida,12,3662957,60418
2021-11-9,Georgia,13,1608989,28580
2021-11-9,Guam,66,19721,256
2021-11-9,Hawaii,15,82454,959
2021-11-9,Idaho,16,297953,3682
2021-11-9,Illinois,17,1727932,28901
2021-11-9,Indiana,18,1040685,16976
2021-11-9,Iowa,19,497648,7069
2021-11-9,Kansas,20,443223,6565
2021-11-9,Kentucky,21,760539,10137
2021-11-9,Louisiana,22,763133,14649
2021-11-9,Maine,23,108710,1215
2021-11-9,Maryland,24,567316,10999
2021-11-9,Massachusetts,25,867345,19117
2021-11-9,Michigan,26,1317252,24003
2021-11-9,Minnesota,27,826528,9006
2021-11-9,Mississippi,28,507476,10178
2021-11-9,Missouri,29,882090,13016
2021-11-9,Montana,30,182666,2438
2021-11-9,Nebraska,31,292032,3040
2021-11-9,Nevada,32,457834,7778
2021-11-9,New Hampshire,33,141707,1613
2021-11-9,New Jersey,34,1209785,28119
2021-11-9,New Mexico,35,287221,5137
2021-11-9,New York,36,2597571,56323
2021-11-9,North Carolina,37,1497516,18356
2021-11-9,North Dakota,38,152818,1832
2021-11-9,Northern Mariana Islands,69,343,3
2021-11-9,Ohio,39,1580271,25282
2021-11-9,Oklahoma,40,650269,10879
2021-11-9,Oregon,41,375357,4655
2021-11-9,Pennsylvania,42,1601086,31992
2021-11-9,Puerto Rico,72,219383,3247
2021-11-9,Rhode Island,44,182175,2884
2021-11-9,South Carolina,45,904689,13898
2021-11-9,South Dakota,46,158267,2270
2021-11-9,Tennessee,47,1261040,16463
2021-11-9,Texas,48,4261017,72439
2021-11-9,Utah,49,566249,3313
2021-11-9,Vermont,50,42716,387
2021-11-9,Virgin Islands,78,7303,83
2021-11-9,Virginia,51,938376,14225
2021-11-9,Washington,53,746860,8908
2021-11-9,West Virginia,54,278837,4568
2021-11-9,Wisconsin,55,909381,9602
2021-11-9,Wyoming,56,106287,1298
2021-11-10,Alabama,1,837428,15917
2021-11-10,Alaska,2,143345,811
2021-11-10,American Samoa,60,4,0
2021-11-10,Arizona,4,1199277,21525
2021-11-10,Arkansas,5,517675,8525
2021-11-10,California,6,4987439,73075
2021-11-10,Colorado,8,779321,8740
2021-11-10,Connecticut,9,406752,8809
2021-11-10,Delaware,10,146484,2125
2021-11-10,District of Columbia,11,65159,1193
2021-11-10,Florida,12,3664403,60418
2021-11-10,Georgia,13,1610182,28678
2021-11-10,Guam,66,19782,259
2021-11-10,Hawaii,15,82582,965
2021-11-10,Idaho,16,298678,3704
2021-11-10,Illinois,17,1732906,28929
2021-11-10,Indiana,18,1043494,16995
2021-11-10,Iowa,19,500474,7166
2021-11-10,Kansas,20,446005,6639
2021-11-10,Kentucky,21,762366,10207
2021-11-10,Louisiana,22,763628,14662
2021-11-10,Maine,23,109592,1217
2021-11-10,Maryland,24,568160,11014
2021-11-10,Massachusetts,25,869293,19138
2021-11-10,Michigan,26,1326606,24193
2021-11-10,Minnesota,27,831793,9049
2021-11-10,Mississippi,28,507775,10182
2021-11-10,Missouri,29,883940,13056
2021-11-10,Montana,30,183413,2452
2021-11-10,Nebraska,31,292990,3042
2021-11-10,Nevada,32,458491,7797
2021-11-10,New Hampshire,33,142469,1617
2021-11-10,New Jersey,34,1211423,28134
2021-11-10,New Mexico,35,288557,5150
2021-11-10,New York,36,2602610,56360
2021-11-10,North Carolina,37,1499708,18391
2021-11-10,North Dakota,38,153461,1838
2021-11-10,Northern Mariana Islands,69,343,3
2021-11-10,Ohio,39,1585798,25282
2021-11-10,Oklahoma,40,650689,10879
2021-11-10,Oregon,41,376372,4730
2021-11-10,Pennsylvania,42,1608022,32188
2021-11-10,Puerto Rico,72,219500,3247
2021-11-10,Rhode Island,44,182486,2887
2021-11-10,South Carolina,45,905182,13923
2021-11-10,South Dakota,46,158822,2277
2021-11-10,Tennessee,47,1263044,16492
2021-11-10,Texas,48,4263381,72462
2021-11-10,Utah,49,567782,3325
2021-11-10,Vermont,50,42910,388
2021-11-10,Virgin Islands,78,7329,84
2021-11-10,Virginia,51,939783,14261
2021-11-10,Washington,53,748950,8910
2021-11-10,West Virginia,54,279694,4592
2021-11-10,Wisconsin,55,913386,9641
2021-11-10,Wyoming,56,106698,1298
2021-11-11,Alabama,1,838114,15934
2021-11-11,Alaska,2,143345,811
2021-11-11,American Samoa,60,4,0
2021-11-11,Arizona,4,1202901,21549
2021-11-11,Arkansas,5,518348,8547
2021-11-11,California,6,4993930,73132
2021-11-11,Colorado,8,783065,8774
2021-11-11,Connecticut,9,407292,8809
2021-11-11,Delaware,10,146800,2125
2021-11-11,District of Columbia,11,65159,1193
2021-11-11,Florida,12,3664403,60418
2021-11-11,Georgia,13,1610182,28678
2021-11-11,Guam,66,19809,259
2021-11-11,Hawaii,15,82710,968
2021-11-11,Idaho,16,298678,3704
2021-11-11,Illinois,17,1732954,28929
2021-11-11,Indiana,18,1050377,17013
2021-11-11,Iowa,19,500474,7166
2021-11-11,Kansas,20,446005,6639
2021-11-11,Kentucky,21,762429,10218
2021-11-11,Louisiana,22,763628,14662
2021-11-11,Maine,23,110346,1220
2021-11-11,Maryland,24,569146,11020
2021-11-11,Massachusetts,25,869293,19138
2021-11-11,Michigan,26,1326606,24193
2021-11-11,Minnesota,27,836911,9092
2021-11-11,Mississippi,28,507775,10182
2021-11-11,Missouri,29,884064,13056
2021-11-11,Montana,30,183413,2452
2021-11-11,Nebraska,31,294247,3042
2021-11-11,Nevada,32,458491,7797
2021-11-11,New Hampshire,33,142469,1617
2021-11-11,New Jersey,34,1213246,28146
2021-11-11,New Mexico,35,288557,5150
2021-11-11,New York,36,2609293,56400
2021-11-11,North Carolina,37,1499873,18391
2021-11-11,North Dakota,38,154085,1840
2021-11-11,Northern Mariana Islands,69,343,3
2021-11-11,Ohio,39,1590792,25282
2021-11-11,Oklahoma,40,650689,10879
2021-11-11,Oregon,41,376372,4730
2021-11-11,Pennsylvania,42,1613315,32261
2021-11-11,Puerto Rico,72,219638,3252
2021-11-11,Rhode Island,44,182486,2887
2021-11-11,South Carolina,45,905182,13923
2021-11-11,South Dakota,46,158822,2277
2021-11-11,Tennessee,47,1263044,16492
2021-11-11,Texas,48,4269263,72744
2021-11-11,Utah,49,567782,3325
2021-11-11,Vermont,50,43521,391
2021-11-11,Virgin Islands,78,7329,84
2021-11-11,Virginia,51,941371,14294
2021-11-11,Washington,53,748950,8910
2021-11-11,West Virginia,54,280727,4610
2021-11-11,Wisconsin,55,917691,9657
2021-11-11,Wyoming,56,106698,1298
2021-11-12,Alabama,1,838836,15934
2021-11-12,Alaska,2,144212,811
2021-11-12,American Samoa,60,4,0
2021-11-12,Arizona,4,1207348,21600
2021-11-12,Arkansas,5,518863,8560
2021-11-12,California,6,4996986,73201
2021-11-12,Colorado,8,786464,8810
2021-11-12,Connecticut,9,407750,8809
2021-11-12,Delaware,10,147233,2125
2021-11-12,District of Columbia,11,65371,1194
